Message_ShipStaticData_AisVersion,Message_ShipStaticData_CallSign,Message_ShipStaticData_Destination,Message_ShipStaticData_Dimension_A,Message_ShipStaticData_Dimension_B,Message_ShipStaticData_Dimension_C,Message_ShipStaticData_Dimension_D,Message_ShipStaticData_Dte,Message_ShipStaticData_Eta_Day,Message_ShipStaticData_Eta_Hour,Message_ShipStaticData_Eta_Minute,Message_ShipStaticData_Eta_Month,Message_ShipStaticData_FixType,Message_ShipStaticData_ImoNumber,Message_ShipStaticData_MaximumStaticDraught,Message_ShipStaticData_MessageID,Message_ShipStaticData_Name,Message_ShipStaticData_RepeatIndicator,Message_ShipStaticData_Spare,Message_ShipStaticData_Type,Message_ShipStaticData_UserID,Message_ShipStaticData_Valid,MessageType,MetaData_MMSI,MetaData_ShipName,MetaData_latitude,MetaData_longitude,MetaData_time_utc
1,PA6466,AMSTERDAM PETROLEUMH,86,0,6,4,False,13,21,36,4,15,0,0,5,ALAIN D,0,False,90,244192305,True,ShipStaticData,244192305,ALAIN D,51.76171333333333,4.624395000000001,2023-04-13 15:04:30.171960069 +0000 UTC
1,DG2435,,4,26,3,4,False,0,0,0,0,15,0,0.9,5,ST NIKOLAUS,0,False,69,211706910,True,ShipStaticData,211706910,ST NIKOLAUS,53.535043333333334,9.880568333333335,2023-04-13 15:04:30.176953249 +0000 UTC
1,DG2435,,4,26,3,4,False,0,0,0,0,15,0,0.9,5,ST NIKOLAUS,0,False,69,211706910,True,ShipStaticData,211706910,ST NIKOLAUS,53.535043333333334,9.880568333333335,2023-04-13 15:04:30.188743935 +0000 UTC
2,PI9834,,2,10,7,1,False,0,24,60,0,15,0,0,5,MSTX 34,0,False,60,244001058,True,ShipStaticData,244001058,MSTX 34,51.897558333333336,4.469741666666667,2023-04-13 15:04:30.243994193 +0000 UTC
1,PC7531,,71,15,3,7,False,30,0,0,12,15,0,0.1,5,VREELAND,0,False,79,244700267,True,ShipStaticData,244700267,VREELAND,51.85604,5.955771666666666,2023-04-13 15:04:30.244809568 +0000 UTC
1,PD7660,VIANEN,12,6,1,2,False,0,24,60,0,15,0,0.2,5,VIRGO  ,0,False,99,244740732,True,ShipStaticData,244740732,VIRGO  ,51.90195333333334,4.556635,2023-04-13 15:04:30.271802552 +0000 UTC
1,SR3700,GDANSK=GDYNIA=GDANSK,74,10,6,3,False,26,18,0,4,15,0,0.2,5,INKA,0,False,89,261183700,True,ShipStaticData,261183700,INKA,54.3844,18.672581666666666,2023-04-13 15:04:30.27537111 +0000 UTC
0,V2AI1  ,NL RTM              ,86,14,6,7,False,13,19,0,4,1,9125097,3.3,5,LILY B              ,0,False,70,304010763,True,ShipStaticData,304010763,LILY B              ,51.90287166666667,4.470743333333333,2023-04-13 15:04:30.280505005 +0000 UTC
2,FM7660,AMSTERDAM,27,55,6,4,False,2,19,0,4,15,0,1.3,5,MONA LISA,0,False,69,226014880,True,ShipStaticData,226014880,MONA LISA,51.91211166666667,4.485351666666667,2023-04-13 15:04:30.286775118 +0000 UTC
1,OT4506 ,ANTWERPEN           ,95,15,5,5,True,27,13,15,4,1,0,1,5,EURONAVI            ,0,False,79,205450690,True,ShipStaticData,205450690,EURONAVI            ,51.254333333333335,4.414666666666666,2023-04-13 15:04:30.327893443 +0000 UTC
